VCAP|TMPRSS2--ERG
VCAP|USP10--ZDHHC7
VCAP|INPP4A--HJURP
VCAP|HJURP--EIF4E2
MJ|PTMA--NCL
K562|BCR--ABL1
K562|NUP214--XKR3
K562|PRIM1--NACA
K562|BRK1--VHL
K562|SLC29A1--HSP90AB
RT112|FGFR3--TACC1
KIJK|NPM1--ALK
HCC1187|PLXND1--TMCC1
HCC1187|AGPAT5--MCPH1
HCC1395|EIF3K--CYP39A1
HCC1395|PLA2R1--RBMS1
HCC1395|EFTUD2--KIF18B
HCC1395|KCNQ5--RIMS1
SKBR3|ANKHD1--PCDH1
SKBR3|ATAD5--TLK2
SKBR3|CBX3--C15orf57
SKBR3|CCDC85C--SETD3
SKBR3|COL14A1--MTSS1
SKBR3|CSE1L--AL035685.1
SKBR3|CSE1L--RP4-791K14.2
SKBR3|CYTH1--EIF3H
SKBR3|DEPDC1B--PDE4D
SKBR3|DHX35--ITCH
SKBR3|KIAA1303--AB046838
SKBR3|KLHDC2--SNTB1
SKBR3|MECOM--LMCD1-AS1
SKBR3|NFS1--PREX1
SKBR3|PBRM1--WDR82
SKBR3|PLDN--AKAP13
SKBR3|PREX1--CPNE1
SKBR3|PVT1--LINC00536
SKBR3|RAD51B--SEMA6D
SKBR3|RANBP10--PSKH1
SKBR3|RARA--PKIA
SKBR3|RP4-723E3.1--PHF20
SKBR3|SAMD12--MTBP
SKBR3|SUMF1--LRRFIP2
SKBR3|TAF2--COLEC10
SKBR3|TATDN1--GSDMB
SKBR3|TBC1D31--ZNF704
SKBR3|TOX2--STAU1
SKBR3|TRIO--FBXL7
SKBR3|VSTM2L--CTNNBL1
SKBR3|WDR67--SLC30A8
SKBR3|WDR67--ZNF704

